Token                Lexema
========================================
KW_SI                si
IDENTIFICADOR        contador
IDENTIFICADOR        es_mayor
ERROR_LEXICO         Que
IDENTIFICADOR        diez
KW_INICIO            inicio
KW_MIENTRAS          mientras
KW_REPITE            repite
KW_IMPRIMIR          imprimir
IDENTIFICADOR        saludo
KW_HASTA             hasta
IDENTIFICADOR        contador
KW_FIN               fin
KW_SINO              sino
IDENTIFICADOR        valor_actual
ERROR_LEXICO         Total
IDENTIFICADOR        resultado1
KW_INICIO            inicio
IDENTIFICADOR        x
IDENTIFICADOR        y
IDENTIFICADOR        z
KW_FIN               fin
KW_MIENTRAS          mientras
KW_REPITE            repite
KW_HASTA             hasta
KW_IMPRIMIR          imprimir
ERROR_LEXICO         123invalido
ERROR_LEXICO         _invalido
ERROR_LEXICO         Mayuscula
IDENTIFICADOR        contador
IDENTIFICADOR        suma1
IDENTIFICADOR        valor_total
IDENTIFICADOR        area_total
IDENTIFICADOR        temperatura
KW_SI                si
KW_SINO              sino
